,Unnamed: 0,title,link,abstract,author,pre_author_num,pre_doi,pre_pdf_link,pre_images_num,pre_words_num,pre_pages_num,top_words,pub_link,published
0,1,WgLink: reconstructing whole-genome viral haplotypes using L0 + L1-regularization,https://www.biorxiv.org/content/10.1101/2020.08.14.251835v1,Many tools can reconstruct viral sequences based on next generation sequencing reads. Although exist,"Chen Cao, Matthew Greenberg, Quan Long",3,https://doi.org/10.1101/2020.08.14.251835 ,https://www.biorxiv.org/content/10.1101/2020.08.14.251835v1.full.pdf,20,54733,27,"haplotypes, license, reconstruction, haplotype, length, regression, tools, read, number, predicted",http://dx.doi.org/10.1093/bioinformatics/btab076,1
1,2,Power analysis of transcriptome-wide association study: implications for practical protocol choice,https://www.biorxiv.org/content/10.1101/2020.07.19.211151v4,The transcriptome-wide association study (TWAS) has emerged as one of several promising techniques f,"Chen Cao, Bowei Ding, Qing Li, Devin Kwok, Jingjing Wu, Quan Long",6,https://doi.org/10.1101/2020.07.19.211151 ,https://www.biorxiv.org/content/10.1101/2020.07.19.211151v4.full.pdf,11,89916,28,"expression, twas, pubmed, heritability, gwas, power, gene, license, expressions, pmid",,0
2,3,Intrinsic BMP inhibitor Gremlin regulates lung alveolar progenitor cell proliferation and differentiation,https://www.biorxiv.org/content/10.1101/2022.07.18.500545v1,Type 1 alveolar epithelial cells (AT1s) and type 2 alveolar epithelial cells (AT2s) regulate the str,"Toyoshi Yanagihara, Quan Zhou, Kazuya Tsubouchi, Spencer Revill, Anmar Ayoub, Sy Giin Chong, Anna Dvorkin-Gheva, Kjetil Ask, Wei Shi, Martin RJ Kolb",10,https://doi.org/10.1101/2022.07.18.500545 ,https://www.biorxiv.org/content/10.1101/2022.07.18.500545v1.full.pdf,,60023,22,"gremlin, lung, cells, bmp, alveolar, cell, signaling, day, progenitor, license",,0
3,4,LongStitch: High-quality genome assembly correction and scaffolding using long reads,https://www.biorxiv.org/content/10.1101/2021.06.17.448848v1,Background Generating high-quality de novo genome assemblies is foundational to the genomics study o,"Lauren Coombe, Janet X Li, Theodora Lo, Johnathan Wong, Vladimir Nikolic, René L Warren, Inanc Birol",7,https://doi.org/10.1101/2021.06.17.448848 ,https://www.biorxiv.org/content/10.1101/2021.06.17.448848v1.full.pdf,3,43242,18,"long, read, assembly, reads, longstitch, assemblies, genome, using, scaffolding, minimizer",http://dx.doi.org/10.1186/s12859-021-04451-7,1
4,5,Disentangling genetic feature selection and aggregation in transcriptome-wide association studies,https://www.biorxiv.org/content/10.1101/2020.11.19.390617v1,The success of transcriptome-wide association studies (TWAS) has led to substantial research towards,"Chen Cao, Devin Kwok, Qing Li, Jingni He, Xingyi Guo, Qingrun Zhang, Quan Long",7,https://doi.org/10.1101/2020.11.19.390617 ,https://www.biorxiv.org/content/10.1101/2020.11.19.390617v1.full.pdf,11,51557,17,"grex, protocols, kernel, genes, feature, expression, association, all, selection, aggregation",http://dx.doi.org/10.1093/genetics/iyab216,1
5,6,Statistical model integrating interactions into genotype-phenotype association mapping: an application to reveal 3D-genetic basis underlying Autism,https://www.biorxiv.org/content/10.1101/2020.07.27.222364v1,"Biological interactions are prevalent in the functioning organisms. Correspondingly, statistical gen","Qing Li, Chen Cao, Deshan Perera, Jingni He, Xingyu Chen, Feeha Azeem, Aaron Howe, Billie Au, Jun Yan, Quan Long",10,https://doi.org/10.1101/2020.07.27.222364 ,https://www.biorxiv.org/content/10.1101/2020.07.27.222364v1.full.pdf,7,94939,29,"d, al, et, regions, genetic, license, genes, ilmm, interactions, gene",,0
6,7,Reconstruction of microbial haplotypes by integration of statistical and physical linkage in scaffolding,https://www.biorxiv.org/content/10.1101/2020.03.29.014704v4,DNA sequencing technologies provide unprecedented opportunities to analyze within-host evolution of ,"Chen Cao, Jingni He, Lauren Mak, Deshan Perera, Devin Kwok, Jia Wang, Minghao Li, Tobias Mourier, Stefan Gavriliuc, Matthew Greenberg, A. Sorana Morrissy, Laura K. Sycuro, Guang Yang, Daniel C. Jeffares, Quan Long",15,https://doi.org/10.1101/2020.03.29.014704 ,https://www.biorxiv.org/content/10.1101/2020.03.29.014704v4.full.pdf,13,81740,25,"haplotypes, et, al, poolhapx, haplotype, supplementary, section, fig, sequencing, reads",,0
7,8,kTWAS: Integrating kernel-machine with transcriptome-wide association studies improves statistical power and reveals novel genes,https://www.biorxiv.org/content/10.1101/2020.06.29.177121v2,The power of genotype-phenotype association mapping studies increases greatly when contributions fro,"Chen Cao, Devin Kwok, Shannon Edie, Qing Li, Bowei Ding, Pathum Kossinna, Simone Campbell, Jingjing Wu, Matthew Greenberg, Quan Long",10,https://doi.org/10.1101/2020.06.29.177121 ,https://www.biorxiv.org/content/10.1101/2020.06.29.177121v2.full.pdf,,83363,24,"skat, genetic, al, et, twas, ktwas, association, kernel, license, predixcan",http://dx.doi.org/10.1093/bib/bbaa270,1
8,9,Genetic Variability of Human Angiotensin-Converting Enzyme 2 (hACE2) Among Various Ethnic Populations,https://www.biorxiv.org/content/10.1101/2020.04.14.041434v1,"There appears to be large regional variations for susceptibility, severity and mortality for Covid-1","Quan Li, Zanxia Cao, Proton Rahman",3,https://doi.org/10.1101/2020.04.14.041434 ,https://www.biorxiv.org/content/10.1101/2020.04.14.041434v1.full.pdf,4,29092,12,"expression, license, among, populations, cov, covid, protein, sars, asians, who",http://dx.doi.org/10.1002/mgg3.1344,1
9,10,UCHL1 inhibited by A1 astrocytes facilitates aggregates clearance to promote neural stem cells activation after spinal cord injury,https://www.biorxiv.org/content/10.1101/2021.09.23.461600v1,Spinal cord injury (SCI) is a devastating central nervous system (CNS) disease with no satisfying th,"Lu Ding, Weiwei Chu, Yu Xia, Tian Li, Ming Shi, Feng-Quan Zhou, David Y.B. Deng",7,https://doi.org/10.1101/2021.09.23.461600 ,https://www.biorxiv.org/content/10.1101/2021.09.23.461600v1.full.pdf,,152238,97,"expression, license, among, populations, cov, covid, protein, sars, asians, who",,0
10,11,A graph-theoretical approach to DNA similarity analysis,https://www.biorxiv.org/content/10.1101/2021.08.05.455342v1,One of the very active research areas in bioinformatics is DNA similarity analysis. There are severa,"Dong Quan Ngoc Nguyen, Lin Xing, Phuong Dong Tan Le, Lizhen Lin",4,https://doi.org/10.1101/2021.08.05.455342 ,https://www.biorxiv.org/content/10.1101/2021.08.05.455342v1.full.pdf,7,221224,33,"hpv, genome, type, complete, isolate, hrv, dna, distance, d, sequences",,0
11,12,Mosaic Evolution of Beta Barrel Porin Encoding Genes in Escherichia coli,https://www.biorxiv.org/content/10.1101/2021.09.21.461324v1,"Bacterial porins serve as the interface interacting with extracellular environment, and are often fo","Xiongbin Chen, Xuxia Cai, Zewei Chen, Jinjin Wu, Gaofeng Hao, Quan Luo, Guoqiang Zhu, Wolfgang Koester, Aaron P White, Yi Cai, Yejun Wang",11,https://doi.org/10.1101/2021.09.21.461324 ,https://www.biorxiv.org/content/10.1101/2021.09.21.461324v1.full.pdf,43,169470,26,"hpv, genome, type, complete, isolate, hrv, dna, distance, d, sequences",http://dx.doi.org/10.1128/aem.00060-22,1
12,13,Extrasynaptic signaling enables an asymmetric juvenile motor circuit to produce a symmetric gait,https://www.biorxiv.org/content/10.1101/2021.09.21.461278v4,Bilaterians generate motor patterns with symmetries that correspond to their body plans. This is tho,"Yangning Lu, Tosif Ahamed, Ben Mulcahy, Daniel Witvliet, Sihui Asuka Guan, Douglas Holmyard, Wesley Hung, Jun Meng, Quan Wen, Andrew Chisholm, Aravinthan DT Samuel, Mei Zhen",12,https://doi.org/10.1101/2021.09.21.461278 ,https://www.biorxiv.org/content/10.1101/2021.09.21.461278v4.full.pdf,16,137783,29,"ventral, dorsal, muscle, muscles, motor, larvae, fig, activity, body, calcium",,0
13,14,A topological approach to DNA similarity analysis from 5-dimensional representation,https://www.biorxiv.org/content/10.1101/2021.03.10.434824v1,"In this paper, we propose another topological approach for DNA similarity analysis. For each DNA seq","Dong Quan Ngoc Nguyen, Phuong Dong Tan Le, Ziqing Hu, Lizhen Lin",4,https://doi.org/10.1101/2021.03.10.434824 ,https://www.biorxiv.org/content/10.1101/2021.03.10.434824v1.full.pdf,175,32119,12,"ventral, dorsal, muscle, muscles, motor, larvae, fig, activity, body, calcium",,0
14,15,A topological characterization of DNA sequences based on chaos geometry and persistent homology,https://www.biorxiv.org/content/10.1101/2021.01.31.429071v1,Methods for analyzing similarities among DNA sequences play a fundamental role in computational biol,"Dong Quan Ngoc Nguyen, Phuong Dong Tan Le, Lin Xing, Lizhen Lin",4,https://doi.org/10.1101/2021.01.31.429071 ,https://www.biorxiv.org/content/10.1101/2021.01.31.429071v1.full.pdf,14,35663,16,"ventral, dorsal, muscle, muscles, motor, larvae, fig, activity, body, calcium",,0
15,16,Transcriptional activity and epigenetic regulation of transposable elements in the symbiotic fungus Rhizophagus irregularis,https://www.biorxiv.org/content/10.1101/2021.03.30.436303v2,Arbuscular mycorrhizal (AM) fungi form mutualistic relationships with most land plant species and ha,"A Dallaire, BF Manley, M Wilkens, I Bista, C Quan, E Evangelisti, CR Bradshaw, NB Ramakrishna, S Schornack, F Butter, U Paszkowski, EA Miska",12,https://doi.org/10.1101/2021.03.30.436303 ,https://www.biorxiv.org/content/10.1101/2021.03.30.436303v2.full.pdf,28,794439,23,"genes, te, rna, tes, genome, pmid, class, figure, irregularis, gene",http://dx.doi.org/10.1101/gr.275752.121,1
16,17,Zoonotic avian influenza viruses evade human BTN3A3 restriction,https://www.biorxiv.org/content/10.1101/2022.06.14.496196v1,Cross-species transmission of avian influenza A viruses (IAVs) into humans could represent the first,"Rute Maria Pinto, Siddharth Bakshi, Spyros Lytras, Mohammad Khalid Zakaria, Simon Swingler, Julie C Worrell, Vanessa Herder, Margus Varjak, Natalia Cameron-Ruiz, Mila Collados Rodriguez, Mariana Varela, Arthur Wickenhagen, Colin Loney, Yanlong Pei, Joseph Hughes, Elise Valette, Matthew L Turnbull, Wilhelm Furnon, Kerrie E Hargrave, Quan Gu, Lauren Orr, Aislynn Taggart, Chris Boutell, Finn Grey, Edward Hutchinson, Paul Digard, Isabella Monne, Sarah K Wootton, Megan K L MacLeod, Sam J Wilson, Massimo Palmarini",31,https://doi.org/10.1101/2022.06.14.496196 ,https://www.biorxiv.org/content/10.1101/2022.06.14.496196v1.full.pdf,,113155,38,"cells, virus, human, avian, np, fig, viruses, using, all, data",,0
17,18,Effect of cutting depth during sugarcane harvest on root characteristics and yield,https://www.biorxiv.org/content/10.1101/2020.08.11.246033v1,"Ratooning is an important cultivation practice in sugarcane production around the world, with underg","Yue-bin Zhang, Shao-lin Yang, Jun Deng, Ru-dan Li, Xian Fan, Jing-mei Dao, Yi-ji Quan, Syed Asad Hussain Bukhari, Zhao-hai Zeng",9,https://doi.org/10.1101/2020.08.11.246033 ,https://www.biorxiv.org/content/10.1101/2020.08.11.246033v1.full.pdf,10,74092,23,"root, ratoon, diameter, cutting, roots, under, mm, sugarcane, biomass, shoot",http://dx.doi.org/10.1371/journal.pone.0238085,1
18,19,Dmp1Cre-directed knockdown of PTHrP in murine decidua is associated with increased bone width and a life-long increase in strength specific to male progeny,https://www.biorxiv.org/content/10.1101/2020.06.09.141812v1,Parathyroid hormone related-protein (PTHrP) is a pleiotropic regulator of tissue homeostasis. In bon,"Niloufar Ansari, Tsuyoshi Isojima, Blessing Crimeen-Irwin, Ingrid J Poulton, Narelle E. McGregor, Patricia W. M. Ho, Christopher S Kovacs, Evdokia Dimitriadis, Jonathan H Gooi, T. John Martin, Natalie A. Sims",11,https://doi.org/10.1101/2020.06.09.141812 ,https://www.biorxiv.org/content/10.1101/2020.06.09.141812v1.full.pdf,14,138024,41,"bone, pthlhf, hom, mice, male, pthrp, figure, trabecular, female, license",http://dx.doi.org/10.1002/jbmr.4388,0
19,20,The African swine fever virus protease pS273R inhibits DNA sensing cGAS-STING pathway by targeting IKKe,https://www.biorxiv.org/content/10.1101/2021.06.02.446855v1,"African swine fever virus (ASFV), a large and complex cytoplasmic double-stranded DNA virus, has dev","Jia Luo, Jinghua Ni, Sen Jiang, Nengwen Xia, Yiwen Guo, Qi Shao, Jiajia Zhang, Qi Cao, Zhenqi Xu, Wanglong Zheng, Nanhua Chen, Quan Zhang, Hongjun Chen, Xiaoyu Guo, Hongfei Zhu, François Meurens, Jianzhong Zhu",17,https://doi.org/10.1101/2021.06.02.446855 ,https://www.biorxiv.org/content/10.1101/2021.06.02.446855v1.full.pdf,13,67784,40,"bone, pthlhf, hom, mice, male, pthrp, figure, trabecular, female, license",http://dx.doi.org/10.1080/21505594.2022.2065962,0
20,21,High contiguity long read assembly of Brassica nigra allows localization of active centromeres and provides insights into the ancestral Brassica genome,https://www.biorxiv.org/content/10.1101/2020.02.03.932665v1,High-quality nanopore genome assemblies were generated for two Brassica nigra genotypes (Ni100 and C,"Sampath Perumal, Chu Shin Koh, Lingling Jin, Miles Buchwaldt, Erin Higgins, Chunfang Zheng, David Sankoff, Stephen J. Robinson, Sateesh Kagale, Zahra-Katy Navabi, Lily Tang, Kyla N. Horner, Zhesi He, Ian Bancroft, Boulos Chalhoub, Andrew G Sharpe, Isobel AP Parkin",17,https://doi.org/10.1101/2020.02.03.932665 ,https://www.biorxiv.org/content/10.1101/2020.02.03.932665v1.full.pdf,11,101167,40,"genome, license, using, supplementary, assembly, figure, nigra, read, version, assemblies",,0
21,22,Leveraging TOPMed Imputation Server and Constructing a Cohort-Specific Imputation Reference Panel to Enhance Genotype Imputation among Cystic Fibrosis Patients,https://www.biorxiv.org/content/10.1101/2021.12.20.473535v1,Cystic fibrosis (CF) is a severe genetic disorder that can cause multiple comorbidities affecting th,"Quan Sun, Weifang Liu, Jonathan D. Rosen, Le Huang, Rhonda G. Pace, Hong Dang, Paul J. Gallins, Elizabeth E. Blue, Hua Ling, Harriet Corvol, Lisa J. Strug, Michael J. Bamshad, Ronald L. Gibson, Elizabeth W. Pugh, Scott M. Blackman, Garry R. Cutting, Wanda K. ONeal, Yi-Hui Zhou, Fred A. Wright, Michael R. Knowles, Jia Wen, Yun Li",22,https://doi.org/10.1101/2021.12.20.473535 ,https://www.biorxiv.org/content/10.1101/2021.12.20.473535v1.full.pdf,,90550,27,"imputation, reference, samples, topmed, cfgp, data, panel, imputed, cf, variants",http://dx.doi.org/10.1016/j.xhgg.2022.100090,0
22,23,Population genomics of ancient and modern Trichuris trichiura,https://www.biorxiv.org/content/10.1101/2021.10.21.464505v1,"The neglected tropical disease trichuriasis is caused by the whipworm Trichuris trichiura , a soil-t","Stephen R. Doyle, Martin Jensen Søe, Peter Nejsum, Martha Betson, Philip J. Cooper, Lifei Peng, Xing-Quan Zhu, Ana Sanchez, Gabriela Matamoros, Gustavo Adolfo Fontecha Sandoval, Cristina Cutillas, Louis-Albert Tchuem Tchuenté, Zeleke Mekonnen, Shaali M. Ame, Harriet Namwanje, Bruno Levecke, Matthew Berriman, Brian Lund Fredensborg, Christian Moliin Outzen Kapel",19,https://doi.org/10.1101/2021.10.21.464505 ,https://www.biorxiv.org/content/10.1101/2021.10.21.464505v1.full.pdf,7,80540,29,"samples, using, human, license, ancient, genome, trichiura, populations, trichuris, genetic",,0
23,24,Connective-Tissue Growth Factor (CTGF/CCN2) Contributes to TGF-ß1-Induced Lung Fibrosis,https://www.biorxiv.org/content/10.1101/2020.07.04.187492v1,Idiopathic pulmonary fibrosis (IPF) is a fatal lung disease characterized by progressive and excessi,"Toyoshi Yanagihara, Sy Giin Chong, Mahsa Gholiof, Kenneth E. Lipson, Quan Zhou, Ciaran Scallan, Chandak Upagupta, Jussi Tikkanen, Shaf Keshavjee, Kjetil Ask, Martin RJ Kolb",11,https://doi.org/10.1101/2020.07.04.187492 ,https://www.biorxiv.org/content/10.1101/2020.07.04.187492v1.full.pdf,305,116198,31,"ctgf, lung, ipf, adtgf, cells, expression, fibrosis, license, fibroblasts, tgf",,0
24,25,Allosteric regulation of Glutamate dehydrogenase deamination activity,https://www.biorxiv.org/content/10.1101/786954v2,Glutamate dehydrogenase (GDH) is a key enzyme interlinking carbon and nitrogen metabolism. Recent di,"Mubasher Rashid, Soumen Bera, Alexander B. Medvinsky, Gui-Quan Sun, Bai-Lian Li, Claudia Acquisti, Adnan Sljoka, Amit Chakraborty",8,https://doi.org/10.1101/786954 ,https://www.biorxiv.org/content/10.1101/786954v2.full.pdf,21,74416,21,"ctgf, lung, ipf, adtgf, cells, expression, fibrosis, license, fibroblasts, tgf",http://dx.doi.org/10.1038/s41598-020-73743-4,1
25,26,"From GWAS Variant to Function: a Study of ~148,000 Variants for Blood Cell Traits",https://www.biorxiv.org/content/10.1101/2021.02.16.431409v2,Genome-wide association studies (GWAS) have identified hundreds of thousands of genetic variants ass,"Quan Sun, Cheynna A. Crowley, Le Huang, Jia Wen, Jiawen Chen, Erik L. Bao, Paul L. Auer, Guillaume Lettre, Alexander P. Reiner, Vijay G. Sankaran, Laura M. Raffield, Yun Li",12,https://doi.org/10.1101/2021.02.16.431409 ,https://www.biorxiv.org/content/10.1101/2021.02.16.431409v2.full.pdf,,63887,26,"variants, d, variant, cell, al, et, license, blood, vampire, gene",http://dx.doi.org/10.1016/j.xhgg.2021.100063,0
26,27,Multiomics Analyses Reveal Dynamic Bioenergetic Pathways and Functional Remodeling of the Heart During Intermittent Fasting,https://www.biorxiv.org/content/10.1101/2021.03.04.433999v1,"Intermittent fasting (IF) reduces cardiovascular risk factors in animals and humans, and can protect","Thiruma V. Arumugam, Asfa Alli-Shaik, Elisa A. Liehn, Sharmelee Selvaraji, Luting Poh, Vismitha Rajeev, Joonki Kim, Hannah L. F. Swa, David Tan Zhi Hao, Chutima Ratttanasopa, David Yang-Wei Fann, David Castano Mayan, Gavin Yong-Quan Ng, Sang-Ha Baik, Karthik Mallilankaraman, Mathias Gelderblom, Grant R. Drummond, Christopher G. Sobey, Brian K. Kennedy, Dong-Gyu Jo, Roshni R. Singaraja, Mark P. Mattson, Jayantha Gunaratne",23,https://doi.org/10.1101/2021.03.04.433999 ,https://www.biorxiv.org/content/10.1101/2021.03.04.433999v1.full.pdf,,150184,54,"al, protein, et, proteins, heart, all, fasting, eod, group, changes",,0
27,28,Integrated Low-Energy and Low Carbon Shortcut Nitrogen removal with Biological Phosphorus Removal for Sustainable Mainstream Wastewater Treatment,https://www.biorxiv.org/content/10.1101/772004v1,While enhanced biological phosphorus removal (EBPR) is widely utilized for phosphorus (P) removal fr,"Paul Roots, Fabrizio Sabba, Alex F. Rosenthal, Yubo Wang, Quan Yuan, Leiv Rieger, Fenghua Yang, Joseph A. Kozak, Heng Zhang, George F. Wells",10,https://doi.org/10.1101/772004 ,https://www.biorxiv.org/content/10.1101/772004v1.full.pdf,12,75301,37,"al, protein, et, proteins, heart, all, fasting, eod, group, changes",http://dx.doi.org/10.1039/C9EW00550A,0
