"","V1","V2","V3"
"1","1","disgust","2"
"2","1","anger","4"
"3","1","surprise","8"
"4","1","sadness","12"
"5","1","fear","13"
"6","1","joy","13"
"7","1","negative","19"
"8","1","anticipation","31"
"9","1","trust","41"
"10","1","positive","82"
"11","4","disgust","16"
"12","4","anger","20"
"13","4","surprise","28"
"14","4","joy","38"
"15","4","sadness","43"
"16","4","fear","47"
"17","4","negative","78"
"18","4","anticipation","85"
"19","4","trust","116"
"20","4","positive","219"
"21","5","surprise","18"
"22","5","anger","20"
"23","5","disgust","21"
"24","5","joy","29"
"25","5","sadness","31"
"26","5","fear","40"
"27","5","negative","54"
"28","5","anticipation","57"
"29","5","trust","107"
"30","5","positive","190"
"31","8","surprise","28"
"32","8","disgust","30"
"33","8","anger","31"
"34","8","joy","34"
"35","8","sadness","48"
"36","8","fear","59"
"37","8","anticipation","86"
"38","8","negative","114"
"39","8","trust","179"
"40","8","positive","300"
"41","9","joy","13"
"42","9","disgust","15"
"43","9","surprise","19"
"44","9","anger","20"
"45","9","sadness","29"
"46","9","anticipation","32"
"47","9","fear","43"
"48","9","trust","49"
"49","9","negative","58"
"50","9","positive","89"
"51","12","anger","31"
"52","12","surprise","31"
"53","12","disgust","35"
"54","12","joy","38"
"55","12","sadness","38"
"56","12","fear","54"
"57","12","anticipation","75"
"58","12","negative","101"
"59","12","trust","109"
"60","12","positive","237"
"61","16","disgust","33"
"62","16","surprise","39"
"63","16","anger","44"
"64","16","joy","63"
"65","16","fear","64"
"66","16","sadness","70"
"67","16","anticipation","94"
"68","16","trust","167"
"69","16","negative","185"
"70","16","positive","247"
"71","18","surprise","27"
"72","18","joy","41"
"73","18","anger","47"
"74","18","sadness","56"
"75","18","disgust","64"
"76","18","anticipation","74"
"77","18","fear","83"
"78","18","trust","108"
"79","18","negative","136"
"80","18","positive","214"
"81","25","disgust","24"
"82","25","joy","25"
"83","25","anger","29"
"84","25","surprise","29"
"85","25","sadness","52"
"86","25","anticipation","88"
"87","25","fear","88"
"88","25","trust","148"
"89","25","negative","150"
"90","25","positive","228"
"91","29","disgust","20"
